"","udi","air_temperature_k","process_temperature_k","rotational_speed_rpm","torque_nm","tool_wear_min","machine_failure","twf","hdf","pwf","osf","rnf"
"udi",1,0.117427946019841,0.324428145192517,-0.00661486827109459,0.00320658647204182,-0.0107020065922246,-0.0228918055480069,0.00915438096088225,-0.022214737201858,-0.0235565593194333,-0.000990258951268705,-0.00595373622420417
"air_temperature_k",0.117427946019841,1,0.876107158116664,0.0226704587955471,-0.0137778230509387,0.0138528276631672,0.0825556897832399,0.00995472389148128,0.137830939239657,0.0034695091441851,0.00198792090840485,0.0176876819067141
"process_temperature_k",0.324428145192517,0.876107158116664,1,0.0192767139018057,-0.0140606131168944,0.0134875171200051,0.0359459733297769,0.00731534359706551,0.0569328837200669,-0.00335476274943884,0.00455351734109185,0.0222789200384329
"rotational_speed_rpm",-0.00661486827109459,0.0226704587955471,0.0192767139018057,1,-0.875027086299607,0.000223084840187293,-0.0441875597343754,0.0103890526153712,-0.121240692742416,0.123017838014187,-0.104574711846688,-0.0130875702457752
"torque_nm",0.00320658647204182,-0.0137778230509387,-0.0140606131168944,-0.875027086299607,1,-0.00309278144076823,0.191320775059493,-0.0146616270207942,0.142610181825265,0.0837810778250732,0.183464794994355,0.0161364991938941
"tool_wear_min",-0.0107020065922246,0.0138528276631672,0.0134875171200051,0.000223084840187293,-0.00309278144076823,1,0.105448218919595,0.115792056937726,-0.00128734585734148,-0.00933444503668091,0.155893671627121,0.0113257087901742
"machine_failure",-0.0228918055480069,0.0825556897832399,0.0359459733297769,-0.0441875597343754,0.191320775059493,0.105448218919595,1,0.362903611006128,0.57580015215624,0.522812249626967,0.531083451180194,0.00451599309878694
"twf",0.00915438096088225,0.00995472389148128,0.00731534359706551,0.0103890526153712,-0.0146616270207942,0.115792056937726,0.362903611006128,1,-0.0073323076859117,0.00857712260726609,0.0382429756460124,0.0309698357542634
"hdf",-0.022214737201858,0.137830939239657,0.0569328837200669,-0.121240692742416,0.142610181825265,-0.00128734585734148,0.57580015215624,-0.0073323076859117,1,0.018443283712392,0.0463964396932687,-0.00470598302217635
"pwf",-0.0235565593194333,0.0034695091441851,-0.00335476274943884,0.123017838014187,0.0837810778250732,-0.00933444503668091,0.522812249626967,0.00857712260726609,0.018443283712392,1,0.115836345081143,-0.00427291580475778
"osf",-0.000990258951268705,0.00198792090840485,0.00455351734109185,-0.104574711846688,0.183464794994355,0.155893671627121,0.531083451180194,0.0382429756460124,0.0463964396932687,0.115836345081143,1,-0.00434051588082015
"rnf",-0.00595373622420417,0.0176876819067141,0.0222789200384329,-0.0130875702457752,0.0161364991938941,0.0113257087901742,0.00451599309878694,0.0309698357542634,-0.00470598302217635,-0.00427291580475778,-0.00434051588082015,1
